No, Student ID, Last name, First name, Gender, Date of Birth, Social ID
1,23120200,Dafemale Duofemale Thafemale ,Quafemale,male ,12/1/2005,448640
2,23120201,Nguyen Trinh ,Quang,male ,13/1/2005,376174
3,23120202,Tran Vu ,Quang,male ,14/1/2005,959591
4,23120203,Nguyen Kim ,Quoc,male ,15/1/2005,543271
5,23120204,Ngo Thi Thuc ,Quyen,male ,16/1/2005,654996
6,23120205,Nguyen Phuc Dinh ,Quyen,male ,17/1/2005,765822
7,23120206,Hoang Van ,Sang,female,18/1/2005,244612
8,23120207,Nguyen Phu ,Tan,female,19/1/2005,148852
9,23120208,Le Nguyen Quoc ,Thai,female,20/1/2005,159276
10,23120209,Tra Nguyen Quang ,Thang,male ,21/1/2005,181367
11,23120210,Trinh Ho Minh ,Thang,male ,22/1/2005,462999
12,23120211,Vo Huu ,Thang,male ,3/4/2005,503974
13,23120212,Tran Nguyen Tri ,Thanh,male ,4/4/2005,608392
14,23120213,Le Nhat ,Thanh,male ,5/4/2005,287021
15,23120214,Nguyen Tien ,Thanh,female,6/4/2005,746440
16,23120215,Tran Dinh ,Thi,male ,7/4/2005,781277
17,23120216,Dang Le Duc ,Thinh,female,8/4/2005,180512
18,23120217,Dao Duc ,Thinh,male ,9/4/2005,670659
19,23120218,Nguyen Tran Ngoc ,Thinh,male ,12/2/2005,429221
20,23120219,Dao Ngoc ,Tho,female,13/2/2005,332432
21,23120220,Pham Minh ,Thong,female,14/2/2005,462513
22,23120221,Nguyen Hoang Anh ,Thu,male ,15/2/2005,330768
23,23120222,Truong Thanh ,Thuan,female,16/2/2005,793457
24,23120223,Tran Ngoc Diem ,Thuy,female,17/2/2005,508047
25,23120224,Nguyen Duc ,Tien,female,18/2/2005,919847
26,23120225,Nguyen Le Tan ,Tien,female,19/2/2005,950666
27,23120226,Vo Ngoc ,Tien,female,20/2/2005,951129
28,23120227,Le Trung ,Tin,male ,21/2/2005,950609
29,23120228,Phan Trung ,Tin,male ,22/2/2005,965291
30,23120229,Kieu Do Song ,Tinh,male ,23/2/2005,330298
31,23120230,Van Cong ,Tinh,male ,24/2/2005,293822
32,23120231,Le Duc ,Toan,male ,25/2/2005,293969
33,23120232,Mai Dinh ,Tri,male ,26/2/2005,990353
34,23120233,Nguyen An ,Tri,male ,27/2/2005,980815
35,23120234,Huynh Le Minh ,Triet,male ,28/2/2005,188621
36,23120354,Kieu Do Song,Tinh,male,1/1/2005,123456
