no,student id,last name,first name,gender,date of birth,social id
1,22120100,Luong Kien,Hao,male,2/12/2004,658453
2,22120101,Nguyen Cong,Hau,male,2/13/2004,114966
3,22120102,Truong Van,Hau,male,2/14/2004,914264
4,22120103,Duong Gia,Hoa,male,2/15/2004,320260
5,22120104,Che Phi,Hoang,male,2/16/2004,690703
6,22120105,Nguyen Thi,Hoang,male,2/17/2004,339031
7,22120106,Huynh Van,Huan,male,2/18/2004,126046
8,22120107,Chau Hai,Hung,male,2/19/2004,200842
9,22120108,Ngo Nhat,Huy,male,2/20/2004,175924
10,22120109,Nguyen Thi,Huyen,male,2/21/2004,349491
11,22120110,Nguyen Van,Huu,male,2/22/2004,393957
12,22120111,Do Nguyen Minh,Luan,male,2/23/2004,138859
13,22120112,Vo Tan,Manh,male,2/24/2004,932384
14,22120113,Luu Sung,Mau,female,2/25/2004,571212
15,22120114,Nguyen Khanh,Minh,female,2/26/2004,720055
16,22120115,Le Dang Hoai,male,female,2/27/2004,301900
17,22120116,Nguyen Tran Hoang,male,female,2/28/2004,425860
18,22120117,Dien Phuong,male,female,2/29/2004,530781
19,22120118,Huynh Trung,Nghia,female,3/1/2004,290554
20,22120119,Nguyen Nguyen,Ngoc,female,3/2/2004,846133
21,22120120,Tran The,Ngoc,female,3/3/2004,760968
22,22120121,Huynh Minh,Nhan,female,3/4/2004,546380
23,22120122,Tran Ha,Ny,female,3/5/2004,371325
24,22120123,Nguyen Thi Kieu,Oanh,female,3/6/2004,484384
25,22120124,Nguyen Thanh Se,Pha,female,3/7/2004,879546
