No, Student ID, Last name, First name, Gender, Date of Birth, Social ID
1,22120001,Nguyen Ngoc,Binh,male,2/2/2004,782305
2,22120002,Hoang Duc,Huy,male,3/2/2004,135422
3,22120003,Nguyen Phu,Khoi,male,4/2/2004,979812
4,22120004,Phan Nhat,Quang,male,5/2/2004,197027
5,22120005,Nguyen Trung,Tin,male,6/2/2004,442527
6,22120006,Vo Thanh,Binh,male,7/2/2004,808280
7,22120007,Tran Dinh,Hiep,male,8/2/2004,949291
8,22120008,Nguyen Dang,Khoa,male,9/2/2004,814659
9,22120009,Huynh Thanh Nhon,Luat,male,10/2/2004,736847
10,22120010,Vo Hoai,Nam,male,11/2/2004,103138
11,22120011,Nguyen Dinh Toan,Thien,male,12/2/2004,246736
12,22120012,Nguyen Van,Trong,male,13/2/2004,304360
13,22120013,Kieu Bao,Trung,female,14/2/2004,475079
14,22120014,Nguyen Thanh,Binh,female,15/2/2004,546312
15,22120015,Le Nguyen Dang,Khoa,female,16/2/2004,720721
16,22120016,Huynh Duc Minh,Nhut,female,17/2/2004,516623
17,22120017,Bui Anh,Ninh,female,18/2/2004,510237
18,22120018,Nguyen Xuan,Phuc,female,19/2/2004,624712
19,22120019,Pham Huu,Phuoc,female,20/2/2004,628184
20,22120020,Tran Trung,Phuoc,female,21/2/2004,850123
21,22120021,Le Kim,San,female,22/2/2004,711001
22,22120022,Le Hong,Son,female,23/2/2004,671547
23,22120023,Dang Tran Tuan,Anh,female,24/2/2004,929381
24,22120024,Pham Xuan,Anh,female,25/2/2004,299526
25,22120025,Pham Van,Bang,male,17/11/2004,482251
26,22120026,Le Thanh,Cong,male,18/11/2004,655456
27,22120027,Tran Bao,Cuong,male,19/11/2004,450236
28,22120028,Nguyen Quoc,Cuong,male,20/11/2004,639735
29,22120029,Nguyen Van,Cuong,male,21/11/2004,251028
30,22120030,Le Thanh,Danh,male,22/11/2004,441753
31,22120031,Tran Khac,Doanh,male,23/11/2004,748928
32,22120032,Pham Huynh Anh,Duy,male,24/11/2004,662465
33,22120033,Vo Nguyen Anh,Duy,male,25/11/2004,842071
34,22120034,Huynh Man,Duy,male,26/11/2004,862644
35,22120035,Nguyen Ngoc Binh,Duong,male,27/11/2004,976080
36,22120036,Tran Minh,Dat,male,28/11/2004,350469
37,22120037,Nguyen Hai,Dang,male,29/11/2004,257973
38,22120038,Doan Van,Dieu,male,30/11/2004,681746
39,22120039,Tran Quang,Duc,male,1/12/2004,390704
40,22120040,Tran Le Quoc,Giang,male,2/12/2004,790348
41,22120041,Vo Thi Ngoc,Giau,male,3/12/2004,199718
42,22120042,Tran Quan,Giau,male,4/12/2004,411193
