No, Student ID, Last name, First name, Gender, Date of Birth, Social ID
1,22120200,Le Thien ,Trong,female,6/5/2005,985986
2,22120201,Nguyen Ngoc Nhan ,Trong,female,7/5/2005,729390
3,22120202,Tran Duc ,Trong,female,8/5/2005,797805
4,22120203,Le Thanh ,Trung,female,9/5/2005,710168
5,22120204,Bui Nhat ,Truong,female,10/5/2005,122857
6,22120205,Phan Khac ,Truong,female,11/5/2005,744457
7,22120206,Nguyen Duy ,Tu,female,12/5/2005,207672
8,22120207,Pham Le Thanh ,Tu,female,13/5/2005,596061
9,22120208,Nguyen Ngoc ,Tuan,female,14/5/2005,208887
10,22120209,Cao Quoc ,Tuan,female,15/5/2005,954344
11,22120210,Dao Bui Anh ,Tuan,female,16/5/2005,630126
12,22120211,Dao Quoc ,Tuan,female,17/5/2005,782029
13,22120212,Luc Hoang ,Tuan,female,7/6/2005,341179
14,22120213,Nguyen Anh ,Tuan,female,8/6/2005,970020
15,22120214,Pham Gia ,Tuan,male,9/6/2005,666584
16,22120215,Pham Quang ,Tuan,male,10/6/2005,776815
17,22120216,Van Duc ,Tuan,male,11/6/2005,611750
18,22120217,Vo Thanh Minh ,Tue,male,12/6/2005,828770
19,22120218,Nguyen Son ,Tung,male,13/6/2005,262176
20,22120219,Cao Quoc ,Ty,male,14/6/2005,399597
21,22120220,Cao Thi Tu ,Vi,male,15/6/2005,770577
22,22120221,Huynh Trong ,Vien,male,16/6/2005,256254
23,22120222,Le Hoang ,Viet,male,17/6/2005,580985
24,22120223,Do Phuoc ,Vinh,male,11/10/2005,358311
25,22120224,Phan Cong ,Vinh,male,12/10/2005,879589
26,22120225,Pham Thanh ,Vuong,male,13/10/2005,763007
27,22120226,Nguyen Khac ,Vuong,male,14/10/2005,648180
28,22120227,Tran Quoc ,Vy,female,15/10/2005,655659
29,22120228,Thach ,Y,female,16/10/2005,447932
30,22120229,Nguyen Thi Hoang ,Yen,female,17/10/2005,941339
31,22120230,Do Anh ,Khoa,female,18/10/2005,198411
32,22120231,Pham Van ,Manh,female,19/10/2005,494641
33,22120232,Lang Phu ,Quy,female,20/10/2005,323123
34,22120233,Duong Tran Anh ,Tu,female,21/10/2005,549349
